"sim_id","true_n","param_type","prevalence","contact_rate","transmission_rate","recovery_rate","R0"
1,6967,"true",0.0110923479367048,1.97045755945146,0.2004361655449,0.0976256732663605,4.04556449519005
1,6967,"abc",0.0110923479367048,5.14557216602011,0.075109964358734,0.0973527129932474,3.96993293881673
1,6967,"lstm",0.0110923479367048,2.49671984183178,0.163081809878349,0.0976256732663605,4.17072248458862
2,7087,"true",0.0146728673446924,2.10721226874739,0.182801399276795,0.0841676047004294,4.5765987124294
2,7087,"abc",0.0146728673446924,7.5086273787704,0.051654847697818,0.0842570162954915,4.6032606033642
2,7087,"lstm",0.0146728673446924,2.36996286359118,0.163354307413101,0.0841676047004294,4.59967517852783
3,9296,"true",0.00967262515076436,4.75313540548086,0.094233208166763,0.0903990055252798,4.95473590120673
3,9296,"abc",0.00967262515076436,26.0019727547886,0.0161576349929177,0.0904436435676346,4.64521737841628
3,9296,"lstm",0.00967262515076436,2.39814042450853,0.186562895774841,0.0903990055252798,4.94921398162842
4,7681,"true",0.015658940743655,3.46769370883703,0.0667304891759769,0.133681931109168,1.73098111003637
4,7681,"abc",0.015658940743655,5.6626097110791,0.0413898866993157,0.13415867879899,1.74699673895248
4,7681,"lstm",0.015658940743655,2.4474653757893,0.0883512869477272,0.133681931109168,1.61754631996155
5,5046,"true",0.0144369804123417,3.04015418328345,0.186252998232961,0.153850842585089,3.68043373837136
5,5046,"abc",0.0144369804123417,1.28531538854283,0.450942900786291,0.156486555145211,3.7038571728857
5,5046,"lstm",0.0144369804123417,2.35306504047081,0.247134476900101,0.153850842585089,3.77978754043579
6,8563,"true",0.0194933618705254,4.61897493340075,0.0508693345650519,0.198556740608532,1.18336038612761
6,8563,"abc",0.0194933618705254,3.37940549032965,0.0582929961636729,0.166805946500695,1.18098710157471
6,8563,"lstm",0.0194933618705254,2.40707583441468,0.101957470178604,0.198556740608532,1.23601627349854
7,5182,"true",0.0193914158358239,2.47445283364505,0.23077179744671,0.219454897635849,2.60205597719178
7,5182,"abc",0.0193914158358239,1.76434226722201,0.315674006159036,0.216679898688929,2.57041375365082
7,5182,"lstm",0.0193914158358239,2.54197264184002,0.224903434514999,0.219454897635849,2.60508370399475
8,7344,"true",0.0146975214921404,1.09204781614244,0.18130770208997,0.0925708493590355,2.1388664086815
8,7344,"abc",0.0146975214921404,6.92465736903219,0.0279771904496645,0.0893361095780311,2.16857952430612
8,7344,"lstm",0.0146975214921404,2.41815343325323,0.0830562487244606,0.0925708493590355,2.16961121559143
9,8361,"true",0.0189365517250262,3.28558571916074,0.188128656292172,0.167921257267939,3.6809683094034
9,8361,"abc",0.0189365517250262,14.7610985438447,0.0417556464455999,0.166277238188835,3.70681651114183
9,8361,"lstm",0.0189365517250262,3.03224121620967,0.211585283279419,0.167921257267939,3.82070517539978
10,7590,"true",0.007000943365274,1.42920621391386,0.224489854918564,0.200739170278655,1.59830438257195
10,7590,"abc",0.007000943365274,9.15219978604782,0.0371424714051177,0.203017177772126,1.67441653252003
10,7590,"lstm",0.007000943365274,2.47631606226617,0.128135100007057,0.200739170278655,1.58067309856415
11,6065,"true",0.0126758322734386,1.59796523395926,0.29114212012706,0.136743532120949,3.40224490978289
11,6065,"abc",0.0126758322734386,1.26340031174574,0.360581282185225,0.137167706415306,3.32117898759046
11,6065,"lstm",0.0126758322734386,2.52837052353887,0.185538768768311,0.136743532120949,3.43058824539185
12,6834,"true",0.0100669179048855,4.7573002083227,0.155418965389951,0.185847411488416,3.97839641943574
12,6834,"abc",0.0100669179048855,7.24621869075484,0.0998796494438789,0.184970209663808,3.91279105939127
12,6834,"lstm",0.0100669179048855,2.73182474451641,0.265940248966217,0.185847411488416,3.90913248062134
13,7095,"true",0.0132186804972589,3.19439264666289,0.0831520226693689,0.15245158517966,1.74232501063962
13,7095,"abc",0.0132186804972589,1.68834121901652,0.14971254374552,0.144040673847243,1.75482280010323
13,7095,"lstm",0.0132186804972589,2.45731951032856,0.103856302797794,0.15245158517966,1.67402732372284
14,6545,"true",0.0177049405348953,1.22128327656537,0.417365115009066,0.122082062189234,4.17523283963092
14,6545,"abc",0.0177049405348953,3.11016993731085,0.15616654365734,0.121249356741572,4.00583147283841
14,6545,"lstm",0.0177049405348953,2.29292487149378,0.227929353713989,0.122082062189234,4.28093099594116
15,8684,"true",0.0122460126006044,4.05431515816599,0.21249522511268,0.216764438008424,3.97446472367737
15,8684,"abc",0.0122460126006044,8.8715037169644,0.0942396602145363,0.216576883813451,3.86028038245694
15,8684,"lstm",0.0122460126006044,2.2980277677906,0.366217076778412,0.216764438008424,3.88244962692261
16,9747,"true",0.00853757997625508,1.41847625002265,0.158229381074121,0.0868449972700328,2.58442772945855
16,9747,"abc",0.00853757997625508,4.99368798549012,0.0441157901096367,0.086411077752667,2.54944732516193
16,9747,"lstm",0.00853757997625508,2.43688594167222,0.0898362696170807,0.0868449972700328,2.5208215713501
17,7437,"true",0.0156116574828047,3.65555753093213,0.24763575806597,0.230575380775845,3.92603389520664
17,7437,"abc",0.0156116574828047,25.6285639161065,0.0342159866008741,0.227509843318976,3.85436773530582
17,7437,"lstm",0.0156116574828047,3.02888945636159,0.298192799091339,0.230575380775845,3.91712689399719
18,9914,"true",0.0146917469510809,2.13656882662326,0.115913392671481,0.210762711602729,1.17505103007425
18,9914,"abc",0.0146917469510809,3.81928735278126,0.0530774292641327,0.201920990854493,1.0039469073957
18,9914,"lstm",0.0146917469510809,2.56569922338511,0.101666487753391,0.210762711602729,1.23762702941895
19,5197,"true",0.0184910264434293,4.52026039361954,0.111536145183002,0.185744664080907,2.71433056783862
19,5197,"abc",0.0184910264434293,18.9958513669831,0.0265554005553948,0.188256635848095,2.67954667132167
19,5197,"lstm",0.0184910264434293,2.44772932397958,0.203351646661758,0.185744664080907,2.67975282669067
20,6413,"true",0.0119283682575915,4.07329651620239,0.134191549656879,0.187903111527674,2.90895646845456
20,6413,"abc",0.0119283682575915,6.08532582319697,0.0833444341193787,0.179339416054177,2.82803439603695
20,6413,"lstm",0.0119283682575915,2.4413137295805,0.230039358139038,0.187903111527674,2.988765001297
21,5451,"true",0.010457021539798,4.03336243610829,0.156429965550836,0.246552411951823,2.5590451212367
21,5451,"abc",0.010457021539798,6.81622113425727,0.0892760852347952,0.249675136210818,2.43726927797626
21,5451,"lstm",0.010457021539798,2.17992682633226,0.305251181125641,0.246552411951823,2.69892001152039
22,8654,"true",0.00743357475521043,4.47303399723023,0.0811169984145102,0.0838195309862494,4.32881319415756
22,8654,"abc",0.00743357475521043,15.6868221578866,0.0229165221900039,0.0824030222990085,4.36255125166907
22,8654,"lstm",0.00743357475521043,2.32391724711444,0.155970141291618,0.0838195309862494,4.32431077957153
23,6025,"true",0.00928393096569926,4.88685130234808,0.0570374026456617,0.116974894449115,2.38284724866971
23,6025,"abc",0.00928393096569926,9.20265700755591,0.0300721586438208,0.11514124870651,2.40351537424523
23,6025,"lstm",0.00928393096569926,2.46464760152697,0.113813377916813,0.116974894449115,2.3980348110199
24,9547,"true",0.0129223283247557,2.55378085188568,0.116306134494809,0.0803547938156407,3.69636166214477
24,9547,"abc",0.0129223283247557,1.17413207157688,0.268155675123899,0.0806459810866637,3.90410252434002
24,9547,"lstm",0.0129223283247557,2.43201427910219,0.122629918158054,0.0803547938156407,3.71151113510132
25,5118,"true",0.0112491669382434,4.87966394517571,0.093436994426339,0.148209283550736,3.07633315487765
25,5118,"abc",0.0112491669382434,4.50607727598739,0.106918297639158,0.152146814703343,3.16656061658898
25,5118,"lstm",0.0112491669382434,2.15337585504913,0.226771414279938,0.148209283550736,3.29482793807983
26,7403,"true",0.0107463886910118,4.65806868299842,0.0442650847965713,0.105485263320617,1.95467877455521
26,7403,"abc",0.0107463886910118,2.93059639079234,0.0697664058792134,0.103465413331013,1.9760920165086
26,7403,"lstm",0.0107463886910118,2.41331508856665,0.084533803164959,0.105485263320617,1.93398296833038
27,5315,"true",0.010694942880189,1.18423147127032,0.287402309298056,0.0770062470757402,4.41978245286737
27,5315,"abc",0.010694942880189,8.71087137086599,0.0384552157653174,0.0747854931764068,4.47919006538365
27,5315,"lstm",0.010694942880189,2.36729419987618,0.14521399140358,0.0770062470757402,4.46410846710205
28,9596,"true",0.0156538271887694,4.42329323012382,0.0650199164535869,0.147384236886632,1.95137663530186
28,9596,"abc",0.0156538271887694,6.17647235044975,0.0454200826394558,0.151373140203447,1.85327386483956
28,9596,"lstm",0.0156538271887694,2.40571324582436,0.119794398546219,0.147384236886632,1.95537173748016
29,8973,"true",0.0126035554884002,1.93649972230196,0.108310910425331,0.10691183895967,1.96184117682278
29,8973,"abc",0.0126035554884002,4.72724735478117,0.0472129085757249,0.108761253046483,2.05208280453273
29,8973,"lstm",0.0126035554884002,2.4434178445881,0.0863067731261253,0.10691183895967,1.97249913215637
30,7680,"true",0.00850999671430327,4.98021170776337,0.190627451188818,0.208599911151221,4.55112880438101
30,7680,"abc",0.00850999671430327,2.36439446241846,0.407343493018994,0.213442743575654,4.51231408977336
30,7680,"lstm",0.00850999671430327,2.85367837495691,0.328675299882889,0.208599911151221,4.49632787704468
31,8129,"true",0.00846997699164785,1.08592538442463,0.450658451897246,0.125911723457975,3.88670283576939
31,8129,"abc",0.00846997699164785,22.5567581987005,0.0217786876810609,0.1265023555943,3.88337900585974
31,8129,"lstm",0.00846997699164785,2.72099287916973,0.189413711428642,0.125911723457975,4.09329128265381
32,7014,"true",0.0114805317309219,1.91380543541163,0.42337337241084,0.247543131191516,3.27318418179639
32,7014,"abc",0.0114805317309219,6.87377544396107,0.121815155371681,0.245836471822765,3.40604474790801
32,7014,"lstm",0.0114805317309219,2.32355763771676,0.369441896677017,0.247543131191516,3.4677574634552
33,5914,"true",0.0152011426119134,2.55846277344972,0.193384318467649,0.101820015283069,4.85922712143511
33,5914,"abc",0.0152011426119134,2.02599146105134,0.24694920942111,0.104527373977561,4.78646856380371
33,5914,"lstm",0.0152011426119134,2.48483686232038,0.195905029773712,0.101820015283069,4.78090715408325
34,5088,"true",0.00782624141639099,1.4013153668493,0.249603083394582,0.132902465027058,2.63179946513847
34,5088,"abc",0.00782624141639099,2.84979680159076,0.12816687693581,0.135711871104473,2.69136040192366
34,5088,"lstm",0.00782624141639099,2.47657374248075,0.141471013426781,0.132902465027058,2.63624453544617
35,7971,"true",0.0184258078434505,1.0390455191955,0.287618759190594,0.11178265671758,2.67348255757242
35,7971,"abc",0.0184258078434505,11.0780764905663,0.0267939279589065,0.11215072785651,2.64666301400431
35,7971,"lstm",0.0184258078434505,2.41708934473736,0.122341528534889,0.11178265671758,2.64540505409241
36,8316,"true",0.0104478947166353,1.86736999731511,0.473117539974949,0.192039228214417,4.6005470213946
36,8316,"abc",0.0104478947166353,5.70081619770214,0.158230416513107,0.198403909008052,4.54649571138475
36,8316,"lstm",0.0104478947166353,1.61519647320724,0.564323723316193,0.192039228214417,4.74639320373535
37,9069,"true",0.0105643917575944,1.48856066260487,0.265226490404046,0.147645152774174,2.67401748637203
37,9069,"abc",0.0105643917575944,6.5950350742922,0.058111312666205,0.144741767910897,2.64779234617825
37,9069,"lstm",0.0105643917575944,2.43790224426098,0.159073904156685,0.147645152774174,2.62661266326904
38,6388,"true",0.0174649432285223,2.61996751930565,0.0492361619362175,0.0741132592214271,1.74054071300197
38,6388,"abc",0.0174649432285223,4.66318340499099,0.0254963872608903,0.070325352571462,1.69063254736464
38,6388,"lstm",0.0174649432285223,2.4388723309518,0.0531412847340107,0.0741132592214271,1.74873983860016
39,5078,"true",0.00717802759003826,1.73470426071435,0.110736816942955,0.166546907683369,1.15340255091432
39,5078,"abc",0.00717802759003826,2.43728807041204,0.0512140251332999,0.126080418194298,0.990029492944843
39,5078,"lstm",0.00717802759003826,2.63901868630531,0.0732274875044823,0.166546907683369,1.16032600402832
40,7649,"true",0.0106674662160221,1.16496246214956,0.52877068358446,0.176537699426524,3.48932833871804
40,7649,"abc",0.0106674662160221,7.78418680555878,0.0791403165681445,0.177833094532345,3.46416402209908
40,7649,"lstm",0.0106674662160221,2.44836068009968,0.251153588294983,0.176537699426524,3.48319125175476
41,8236,"true",0.0163450763612054,2.70674475282431,0.208092801401592,0.124868640547385,4.51077304778155
41,8236,"abc",0.0163450763612054,5.2390575076279,0.102884582499941,0.124920647350995,4.31488513544901
41,8236,"lstm",0.0163450763612054,2.42577196694597,0.23393340408802,0.124868640547385,4.54452848434448
42,7728,"true",0.0148755696523003,1.87101679388434,0.304608416307337,0.202462822831236,2.81497340844944
42,7728,"abc",0.0148755696523003,2.78794938556577,0.205436413206124,0.200652034514436,2.85442568951196
42,7728,"lstm",0.0148755696523003,2.21683411804591,0.268049478530884,0.202462822831236,2.93496465682983
43,8260,"true",0.00908159068133682,1.86348686181009,0.227926338823372,0.0930678742958698,4.56374168929178
43,8260,"abc",0.00908159068133682,4.4623759278487,0.0945579562635605,0.0907701353571024,4.64859004734388
43,8260,"lstm",0.00908159068133682,2.28787004215794,0.188538506627083,0.0930678742958698,4.63480663299561
44,6012,"true",0.0132992668093648,2.77624711301178,0.19877673584921,0.164232540880563,3.36019485588186
44,6012,"abc",0.0132992668093648,6.20429851638494,0.0897222693459124,0.165327471936088,3.36703716612039
44,6012,"lstm",0.0132992668093648,2.49959786645305,0.231388747692108,0.164232540880563,3.52170658111572
45,9490,"true",0.0144661820458714,1.12666310649365,0.587475844021422,0.210784764112206,3.14011006536894
45,9490,"abc",0.0144661820458714,14.7115715057848,0.0458590710115885,0.205539532728876,3.28238073434651
45,9490,"lstm",0.0144661820458714,2.17320917497409,0.308578550815582,0.210784764112206,3.18147158622742
46,7742,"true",0.0106440822705626,3.58289373014122,0.0599115611180419,0.0819132482816931,2.62053771759383
46,7742,"abc",0.0106440822705626,3.69340257205421,0.055315543611193,0.0808952337135822,2.52552049940929
46,7742,"lstm",0.0106440822705626,2.43068866021859,0.0873856693506241,0.0819132482816931,2.5930769443512
47,8010,"true",0.0124428300131112,2.90939985495061,0.230925338813106,0.233506571730366,2.87723871010821
47,8010,"abc",0.0124428300131112,18.2858074395161,0.0348754951257447,0.228453077955695,2.79149921696754
47,8010,"lstm",0.0124428300131112,2.34011240865992,0.287115454673767,0.233506571730366,2.87735986709595
48,8312,"true",0.0150190825152677,3.22929189819843,0.249290063776681,0.236469688817859,3.40437029066961
48,8312,"abc",0.0150190825152677,9.69968226036391,0.0835671081103738,0.234025177652602,3.4636204711758
48,8312,"lstm",0.0150190825152677,2.5772189465916,0.310563564300537,0.236469688817859,3.38474798202515
49,7248,"true",0.0078573032929562,2.90067376289517,0.0834503781677887,0.121260771344649,1.99621295304969
49,7248,"abc",0.0078573032929562,3.19437084824963,0.0776088265806647,0.12136292810182,2.0427273556563
49,7248,"lstm",0.0078573032929562,2.45999087756521,0.0993437543511391,0.121260771344649,2.01536512374878
50,8628,"true",0.0144304602316115,2.17655969131738,0.0810111746513688,0.0814544300709385,2.16471537691541
50,8628,"abc",0.0144304602316115,3.04478069381853,0.0559051226011328,0.0798904995232268,2.13065181714127
50,8628,"lstm",0.0144304602316115,2.44556081724362,0.0738188326358795,0.0814544300709385,2.21631217002869
51,9456,"true",0.0185758253112435,3.36676089838147,0.0658263767993068,0.172290701418649,1.28632404224481
51,9456,"abc",0.0185758253112435,7.88635483683653,0.0223432514450424,0.139719307755143,1.26114859810976
51,9456,"lstm",0.0185758253112435,2.43286935184589,0.094562254846096,0.172290701418649,1.33528745174408
52,9535,"true",0.0171655847702641,3.50593637116253,0.0679906751177863,0.0739105294877663,3.22512884764001
52,9535,"abc",0.0171655847702641,3.30224300473932,0.0772121739096606,0.0759306697678915,3.35797592663554
52,9535,"lstm",0.0171655847702641,2.388220728049,0.0993596985936165,0.0739105294877663,3.21054244041443
53,6150,"true",0.0144785805142019,4.20888794213533,0.186362263607428,0.167714135353453,4.67687403040472
53,6150,"abc",0.0144785805142019,5.7411161186931,0.128490360194333,0.16371672809291,4.50581981817845
53,6150,"lstm",0.0144785805142019,2.90730879659455,0.27032995223999,0.167714135353453,4.68614435195923
54,9614,"true",0.019476640204899,1.73300000280142,0.38449613474989,0.192669798003742,3.45841335540172
54,9614,"abc",0.019476640204899,5.97813859389001,0.113954117718217,0.194770745999514,3.49761718870071
54,9614,"lstm",0.019476640204899,3.08655919008337,0.230539739131927,0.192669798003742,3.69323348999023
55,6332,"true",0.0085589722036384,4.85244140867144,0.0896171833569653,0.153561123148538,2.83185042238329
55,6332,"abc",0.0085589722036384,6.92632203483608,0.0623989487600818,0.155288242528919,2.78318053388411
55,6332,"lstm",0.0085589722036384,2.42548392401336,0.178194954991341,0.153561123148538,2.81457304954529
56,5885,"true",0.0145118564846925,1.06435711495578,0.383620239017875,0.123732723528985,3.29992680347059
56,5885,"abc",0.0145118564846925,1.23329935136645,0.336377802408603,0.125478253680239,3.30618663678403
56,5885,"lstm",0.0145118564846925,2.29369893053174,0.179558202624321,0.123732723528985,3.3285653591156
